timestamp,action_type,hand_speed,leg_speed,movement_intensity,l_elbow_angle,r_elbow_angle,l_hand_speed,r_hand_speed
9.8113,guard_position,1.5287,0.6167,1.0727,151.01,59.37,1.2038,1.5287
9.8446,kick_low,2.0252,1.6215,1.8233,137.49,54.22,1.1579,2.0252
9.878,kick_low,1.454,0.9526,1.2033,117.31,34.71,1.454,0.8571
9.9114,guard_position,1.9067,0.8738,1.3903,86.26,35.5,1.9067,0.2481
9.9781,guard_position,2.519,0.306,1.4125,76.56,92.73,0.6319,2.519
10.0115,guard_position,4.3672,0.2758,2.3215,67.15,72.84,0.8437,4.3672
10.0449,guard_position,1.1954,0.5062,0.8508,83.28,47.73,1.1954,0.6709
10.0782,kick_low,0.8293,8.0754,4.4523,86.98,38.53,0.0309,0.8293
10.1116,kick_low,5.0791,7.3147,6.1969,35.2,122.19,0.8183,5.0791
10.145,guard_position,2.8624,0.7276,1.795,24.42,100.68,0.6983,2.8624
10.1784,kick_low,3.7221,4.6242,4.1732,156.63,13.2,2.3332,3.7221
10.2117,kick_low,1.8315,2.8049,2.3182,22.46,19.22,1.5194,1.8315
10.2451,kick_low,0.3856,4.982,2.6838,3.46,49.36,0.3856,0.2984
10.2785,kick_low,1.6686,3.0599,2.3642,42.04,44.89,0.2584,1.6686
10.3118,kick_low,1.3775,5.7522,3.5649,49.1,75.45,1.3775,1.1338
10.3452,forward_movement,0.7482,0.3083,0.5282,81.03,24.67,0.6523,0.7482
10.3786,punch_right,3.5847,0.5608,2.0728,68.72,119.74,0.5065,3.5847
10.412,backward_movement,0.643,0.7197,0.6814,67.42,170.83,0.643,0.2246
10.4453,punch_right,1.7648,0.7932,1.279,63.11,116.29,0.7051,1.7648
